YYYYQ,DUR,HOM,CAR,PAGO,PEXP,RINC,GASPX2,GAS1,GAS1PX2,GAS5,GASPX1,GAS1PX1,PINC,PINC2,PJOB,PSSA,PCRY,PSTK,BAGO,BEXP,BUS12,BUS5,NEWS1,NEWS2,UNEMP,GOVT,RATEX,PX1Q1,PX1Q2,PX1,PX5Q1,PX5Q2,PX5,AGE,BIRTHM,BIRTHY,REGION,SEX,MARRY,NUMKID,NUMADT,EDUC,ECLGRD,EHSGRD,EGRADE,HOMEAMT,INVAMT,POLAFF,POLREP,POLDEM,POLCRD,Unnamed: 0,INCOME,VEHOWN,VEHNUM,ICS,ICC,ICE,GDP,gdp_increase_rate
19781,2.536929761042723,2.635047067342505,3.154960173787111,2.783128167994207,2.8725561187545257,3.622013034033309,,,,,0.000362056480811,0.000362056480811,,,,,,,2.9062273714699494,3.000362056480811,3.4739319333816074,13.930847212165098,30.26611151339609,11.156408399710354,3.052498189717596,3.435553946415641,2.393555394641564,1.340695148443157,26.23677786818552,22.028240405503254,,,,42.0,10.0,1935.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,13.0,,,,,,,0,16150.075414781297,0.891869918699187,1.6829268292682926,87.02107530774737,101.85990948588218,77.48713613323905,2202.76,
19782,2.4177307551988325,2.6125501641736597,3.041955490696826,2.7913170375775262,2.8894564027727108,3.7376869755563664,,,,,0.0003648303538854,0.0003648303538854,,,,,,,2.850784385260854,3.172564757387814,3.4932506384531194,13.430499817584822,32.40496169281284,12.28347318496899,2.8890915724188253,3.614739146296972,2.075519883254287,1.3090113097409704,25.223832528180356,20.884348777818317,,,,42.0,5.0,1935.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,13.0,,,,,,,1,16339.388145315488,0.90199203187251,1.7250996015936255,83.55761400948508,101.30795695002014,72.15334184604373,2331.633,0.0585052388821294
19783,2.412157153446998,2.767234988880652,3.186434395848777,2.821719792438844,2.911415863602669,3.7765011119347673,,,,,0.0003706449221645,0.0003706449221645,,,,,,,2.8421052631578947,3.216827279466272,3.51704966641957,12.080800593031876,31.936990363232024,12.359154929577464,2.7438843587842845,3.707561156412157,2.1412157153447,1.3476649369903633,24.10319104848736,19.056338028169016,,,,44.0,8.0,1934.0,2.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,13.0,,,,,,,2,17098.825831702543,0.9099821746880572,1.7762923351158646,83.02472572275727,101.1542327650129,71.37710155671063,2395.053,0.0271998208980572
19784,2.7765494137353435,3.0160804020100502,3.4603015075376886,2.926298157453936,3.181574539363484,3.855946398659967,,,,,0.0003350083752093,0.0003350083752093,,,,,,,3.1423785594639866,3.490117252931323,4.004690117252931,18.693802345058625,34.392294807370185,14.095477386934672,2.70284757118928,3.603350083752094,2.0090452261306533,1.3061976549413736,27.330743618202,23.838860971524287,,,,44.0,10.0,1934.0,4.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,13.0,,,,,,,3,16923.959068454482,0.9163738580463808,1.747013352073085,76.36798994974782,94.0713701842579,64.99386599665252,2476.949,0.034193815335193
19791,2.4104180491041807,2.925680159256802,3.1974120769741208,2.8795620437956204,3.0776376907763767,3.870272063702721,,,,,0.0003317850033178,0.0003317850033178,,,,,,,3.2846715328467155,3.5869276708692768,4.152289316522893,12.33045786330458,39.023556735235566,18.118447246184477,2.5524220305242205,3.681154611811546,2.128400796284008,1.241871267418713,23.22111269614836,19.704379562043798,1.783982365907421,26.306397306397308,14.99338721528288,42.0,8.0,1936.0,4.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,13.0,,,,,,,4,17469.533426183843,0.0827790096082779,1.7664449371766444,74.94209356337005,97.8886098208385,60.20032846715551,2526.61,0.0200492622173489
19792,2.522775909507796,2.891164781412412,3.4050749006420054,3.076429226536228,3.2623051054723327,3.970039743197799,,,,,0.0003057169061449,0.0003057169061449,,,,,,,3.5163558544787525,3.6646285539590338,4.403240599205136,13.36747172118618,40.17915010700092,18.39223479058392,2.403240599205136,3.8483644145521247,2.048608988077041,1.2754509324365635,23.32802124833997,20.340874350351573,,,,42.0,8.0,1937.0,4.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,13.0,,,,,,,5,17823.538856775853,0.9103568320278504,1.7441253263707572,68.700391317639,93.1748486701342,52.977331091411344,2591.247,0.0255824998713689
19793,2.6817772440708496,3.082557790453317,3.419693785649955,3.0600420294205946,3.130591413989793,3.8772140498348846,,,,,0.0003002101471029,0.0003002101471029,,,,,,,4.012008405884119,3.648754127889523,4.559291504052837,10.270489342539776,45.34584208946262,24.481236865806064,1.9828880216151303,3.866406484539177,2.04953467427199,1.366556589612729,23.746223564954683,17.70879615731012,,,,42.0,8.0,1936.0,4.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,13.0,,,,,,,6,17742.97885768381,0.922911547911548,1.759213759213759,65.30757430201075,89.7499819873937,49.60494446112428,2667.565,0.0294522289847321
19794,2.807117224880382,3.547248803827751,3.3797846889952154,3.2069377990430623,3.0936004784688995,3.8806818181818175,,,,,0.0002990430622009,0.0002990430622009,,,,,,,4.0125598086124405,3.5319976076555024,4.471291866028708,10.08702153110048,40.13905502392345,23.259270334928228,2.088217703349282,3.768839712918661,2.2831937799043063,1.3854665071770336,24.42692828146144,17.909688995215312,,,,42.0,9.0,1937.0,4.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,13.0,,,,,,,7,18119.860847564836,0.8996675732849804,1.7107887579329102,64.48868122009469,84.3528259569411,51.72710526315978,2723.883,0.0211121378485621
19801,2.7342685370741484,3.5887775551102203,3.290981963927856,3.2188376753507013,3.119438877755511,3.864128256513026,,,,,0.0004008016032064,0.0004008016032064,,,,,,,4.062925851703407,3.4264529058116238,4.42124248496994,9.004408817635271,40.30701402805611,23.972745490981964,2.2392785571142286,3.697795591182365,2.454509018036072,1.293386773547094,21.352785145888596,18.589579158316635,1.618253189401374,22.790123456790123,20.243375858684985,42.0,9.0,1937.0,4.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,13.0,,,,,,,8,19410.44776119403,0.904126213592233,1.6949838187702266,64.88028456913783,84.78952304609466,52.08973547094182,2789.842,0.0242150635691769
19802,3.389099526066351,4.111374407582939,3.6113744075829386,3.356872037914692,3.136018957345972,3.7976303317535542,,,,,0.000473933649289,0.000473933649289,,,,,,,4.64218009478673,3.492890995260664,4.562559241706161,10.398578199052134,46.18436018957346,28.423222748815167,1.832701421800948,3.9113744075829375,3.291943127962085,1.685781990521327,22.88561320754717,16.71658767772512,,,,42.0,1.0,1937.0,4.0,2.0,1.0,1.0,2.0,3.0,5.0,1.0,13.0,,,3.0,5.0,5.0,5.0,9,18834.450747808147,0.8951098511693835,1.698086463501063,55.87487203791535,68.63135071090016,47.67926066350715,2797.352,0.002691908717411
