YYYYQ,PX1Q1,PX1Q2,PX1,PX5Q1,PX5Q2,PX5
19781,1.340695148443157,26.236777868185516,22.028240405503258,,,
19782,1.3090113097409704,25.223832528180353,20.884348777818314,,,
19783,1.3476649369903633,24.10319104848736,19.056338028169016,,,
19784,1.3061976549413736,27.330743618201996,23.838860971524287,,,
19791,1.2418712674187127,23.22111269614836,19.704379562043794,1.783982365907421,26.306397306397308,14.99338721528288
19792,1.2754509324365637,23.328021248339972,20.340874350351573,,,
19793,1.366556589612729,23.746223564954683,17.70879615731012,,,
19794,1.3854665071770336,24.426928281461436,17.909688995215312,,,
19801,1.293386773547094,21.352785145888593,18.589579158316635,1.6182531894013739,22.790123456790123,20.243375858684985
19802,1.685781990521327,22.88561320754717,16.71658767772512,,,
19803,1.5831673306772909,22.45145631067961,17.759462151394423,1.7708955223880598,23.4,20.478358208955225
19804,1.5838991270611058,23.071218363743377,18.601357904946653,,,
19811,1.5913926499032882,21.165578635014835,16.37330754352031,2.029497098646035,23.422802850356295,17.663442940038685
19812,1.68503937007874,18.794303797468356,12.845964566929133,,,
19813,1.7241545893719807,16.04637491835402,11.478260869565217,1.8444444444444446,17.64956772334294,13.944444444444445
19814,1.792677127912506,15.167832167832168,10.90489776509748,,,
19821,1.9343869731800767,13.833109017496636,9.27155172413793,1.943007662835249,14.884615384615385,13.318486590038313
19822,2.0677480916030535,13.674092934436665,9.013358778625955,,,
19823,1.8233317330772925,12.39181649101054,10.168506961113778,1.786365818530965,14.853817000541419,13.828132501200193
19824,2.067284251584593,13.697841726618705,9.31253047294003,,,
19831,2.137038811691423,11.673211781206172,7.374221370388117,1.904168663152851,12.02099447513812,12.712505989458553
19832,1.9405940594059405,11.22938144329897,8.127769919849127,,,
19833,1.8191541079241613,11.473376623376623,9.304326689353427,1.6635877491492466,14.55668449197861,15.303354399611084
19834,1.7938785270205644,13.870018393623544,11.663318986131038,,,
19841,1.7867504835589942,11.521904761904763,9.760154738878143,1.6102514506769825,14.212346993081427,14.700676982591876
19842,1.6380722891566266,10.552194543297746,9.55421686746988,,,
19843,1.821884200196271,10.357509627727856,9.325809617271835,1.5318940137389598,11.970697922216303,14.003925417075564
19844,1.7882075471698113,11.62297053517739,9.38443396226415,,,
19851,1.747946611909651,9.516,7.624743326488707,1.517453798767967,10.988980716253444,11.809548254620124
19852,1.6856136820925554,8.776741293532337,7.82897384305835,,,
19853,1.7804627249357325,8.790681971640783,7.208226221079691,1.5989717223650386,10.779030439684329,13.067866323907454
19854,1.7074168797953964,10.25918762088975,8.603580562659847,,,
19861,1.9741116751269034,11.369039843239712,8.211167512690356,1.6717325227963526,12.65989847715736,13.399696048632219
19862,2.0035514967021815,11.24,8.647894469812279,1.4164133738601823,9.939102564102564,10.285714285714286
19863,1.8330804248861912,11.176247631080228,8.240263024785028,1.5538694992412747,11.435351882160393,13.062215477996965
19864,1.7872448979591837,10.991217063989962,8.704591836734695,1.5849923430321593,10.461412151067323,12.719754977029096
19871,1.6644602851323829,11.295021511985249,9.10183299389002,1.4647239263803682,12.147299509001636,13.785276073619633
19872,1.5779253960143076,11.363199037883343,9.266223811957078,1.5611620795107033,13.430194805194805,13.262996941896024
19873,1.5570332480818414,11.187274909963985,10.088491048593351,1.5476923076923077,11.248366013071895,14.569230769230769
19874,1.6908727514990007,10.147826086956522,8.964023984010659,1.446,9.042918454935622,9.972
19881,1.6691078561917443,10.942583732057416,9.062583222370174,,,
19882,1.5246010638297873,10.91647509578544,9.445478723404255,,,
