YYYYQ,PINC,PINC2,PJOB,PSSA,PCRY,PSTK
19973,46.58699324324324,,20.0,42.231517509727624,2.747081712062257,
19974,40.882,,0.0,34.143,3.048,
19981,43.63842561707805,,0.0,37.765176784523014,2.971314209472982,
19982,43.153,,2.0,36.843,2.9553333333333334,
19983,46.67009283819629,,10.0,38.371684350132625,2.8381962864721486,
19984,44.29953457446808,,10.0,38.164561170212764,2.9029255319148937,
19991,47.0187040748163,,10.0,38.557782231128925,2.9819639278557113,
19992,44.68366666666667,,10.0,36.771,2.922,
19993,45.49500333111259,,10.0,38.387741505662895,2.8574283810792807,
19994,44.71743486973948,,5.0,37.80895123580494,2.929859719438878,
20001,45.65473823724321,,10.0,40.41616964877402,2.8031809145129225,
20002,45.06487025948104,,10.0,37.6600133067199,2.802395209580838,
20003,44.19031830238727,,10.0,38.814323607427056,2.820291777188329,
20004,45.487,,10.0,38.218666666666664,2.714,
20011,43.93837441705529,,10.0,39.05329780146569,2.944037308461026,
20012,44.02131912058628,,10.0,36.888407728181214,3.08327781479014,
20013,42.530646235842774,,10.0,36.94070619586942,3.090606262491672,
20014,43.663576158940394,,10.0,41.35993377483444,3.1271523178807947,
20021,45.89333333333333,,10.0,38.882333333333335,3.144,
20022,44.30472388556221,55.21956087824351,10.0,39.165335994677314,3.2528276779773786,51.06287425149701
20023,42.81091877496671,53.65079893475366,10.0,37.46105193075899,3.418109187749667,45.025632490013315
20024,44.65139442231076,54.31772908366534,10.0,38.22908366533864,3.4269588313413015,46.926626826029214
20031,42.222443559096945,51.38446215139442,10.0,35.5464807436919,3.50464807436919,44.45484727755644
20032,42.708,50.876,10.0,37.174,3.4013333333333335,49.13933333333333
20033,43.32934131736527,52.89088489687292,10.0,36.94411177644711,3.308715901530273,51.17831004657352
20034,42.0624584717608,53.175415282392024,10.0,36.16478405315615,3.3109634551495017,53.00332225913621
20041,41.70728476821192,54.06754966887417,10.0,37.40927152317881,3.1913907284768213,56.19867549668874
20042,41.12483487450462,54.61955085865257,10.0,36.025759577278734,3.2642007926023777,53.94848084544254
20043,40.89609530112508,53.5638649900728,10.0,36.0463269358041,3.2329583057577764,54.649900727994705
20044,40.95614617940199,54.13953488372093,10.0,36.604651162790695,3.221926910299003,55.776744186046514
20051,39.817081371889714,52.06523201075992,10.0,37.05850706119704,3.2205783456624077,55.379959650302624
20052,38.30559254327563,52.92876165113182,10.0,35.89747003994674,3.227030625832224,51.54793608521971
20053,38.8996062992126,52.28543307086614,10.0,36.75984251968504,3.2670603674540684,54.07874015748032
20054,37.27110817941953,52.82387862796834,9.0,36.510554089709764,3.2506596306068603,52.77704485488127
20061,37.9331550802139,51.39104278074866,10.0,36.68582887700535,3.1871657754010694,54.26470588235294
20062,36.61993355481727,50.0843853820598,5.0,35.30498338870432,3.208637873754153,53.09700996677741
20063,37.04840848806366,50.95888594164456,5.0,36.69628647214854,3.2194960212201593,53.09350132625995
20064,40.93891102257636,53.46746347941567,5.0,38.32802124833997,3.088313413014608,57.51128818061089
20071,38.516490765171504,52.812664907651715,5.0,38.1655672823219,3.0026385224274406,55.409630606860155
20072,38.55562913907285,52.80066225165563,5.0,38.09867549668874,3.0794701986754967,56.420529801324506
20073,37.95184696569921,52.68865435356201,5.0,38.153693931398415,3.0514511873350925,54.95976253298153
20074,36.7185628742515,52.54158349966733,5.0,36.59214903526281,3.1723220226214237,53.55156353958749
20081,35.172413793103445,49.061671087533156,5.0,36.226790450928384,3.18368700265252,48.23010610079576
20082,33.54887714663144,46.30977542932629,5.0,37.1003963011889,3.483487450462351,45.476882430647294
20083,34.33953488372093,50.40332225913621,5.0,37.196677740863784,3.5142857142857142,44.775415282392025
20084,33.19512195121951,42.7798286090969,10.0,35.30323005932762,3.826631509558339,40.2972972972973
20091,34.05419695968275,41.12293456708526,10.0,37.90284203569068,3.90482485128883,37.24785194976867
20092,32.49177090190915,38.56747860434496,10.0,36.20078999341672,3.9177090190915074,42.12442396313364
20093,32.727392739273924,39.61848184818482,10.0,36.84290429042904,3.8943894389438944,44.255445544554455
20094,32.284671532846716,38.63503649635037,8.0,36.949568679495684,3.8420703384207036,44.476443264764434
20101,32.75629139072848,38.582119205298014,10.0,36.373509933774834,3.7450331125827816,46.935761589403974
20102,32.09564643799472,37.66820580474934,10.0,36.76253298153034,3.8014511873350925,45.38984168865435
20103,31.346965699208443,37.71240105540897,10.0,35.75131926121372,3.8357519788918206,41.71042216358839
20104,31.693770491803278,39.68786885245902,10.0,36.32262295081967,3.758032786885246,46.62491803278689
20111,29.965631196298744,36.46265697290152,5.0,35.730998017184405,3.773298083278255,46.273628552544615
20112,30.2553050397878,38.52254641909814,7.0,37.62334217506631,3.746021220159151,47.11538461538461
20113,29.59986595174263,35.55831099195711,5.0,35.18565683646113,3.8773458445040214,41.720509383378015
20114,30.370666666666665,37.82,5.0,37.95666666666666,3.8406666666666665,40.628
20121,30.72063702720637,39.55540809555408,2.0,37.55275381552754,3.717319177173192,44.919044459190445
20122,30.25782811459027,37.72418387741506,0.0,37.371085942704866,3.7195203197868087,45.04463690872751
20123,31.129327237099936,39.325930764206404,0.0,38.41410842586545,3.6544741998693664,45.77465708687133
20124,31.34851485148515,42.447524752475246,0.0,38.72079207920792,3.572937293729373,47.23564356435644
20131,33.04593874833555,40.69440745672437,5.0,37.3641810918775,3.5565912117177096,49.280958721704394
20132,32.61879549966909,40.28921244209133,5.0,37.807412309728655,3.4348113831899405,51.41495698213104
20133,34.125578321216125,41.83344348975545,5.0,36.67349636483807,3.4686054196959684,51.95902181097158
20134,32.21456953642384,43.449006622516556,0.0,35.789403973509934,3.380794701986755,52.373509933774834
20141,33.46666666666667,44.73795379537954,2.0,37.846204620462046,3.314191419141914,54.23564356435644
20142,32.84158415841584,44.45940594059406,5.0,36.234983498349834,3.3227722772277226,54.43894389438944
20143,33.73328921244209,45.95632031767042,0.0,37.33553937789544,3.2766379880873595,53.30244870946393
